FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
1334 NA12239 0.000687109 0.00722979 0.00346181 0.000518818 0.000688623 -0.0485759 0.000209776 -0.0268122 0.00906814 0.0136672
1447 NA12762 -0.0187934 -0.0103675 -0.00999092 0.000196993 0.0312686 -0.00738407 -0.0245302 0.0381395 0.0217921 -0.0235478
1358 NA12716 -0.00221448 -0.00712121 0.00202584 0.0201063 -0.00697104 -0.00334934 0.0118999 0.00454772 -0.0218419 -0.0326177
1447 NA12760 -0.0339781 -0.0422128 -0.0751317 0.0528185 -0.0272292 0.0475477 0.0161749 0.00179679 0.00462712 -0.00682825
1341 NA06985 0.0143028 0.0189806 -0.0476279 -0.021945 0.0369585 -0.0137083 0.0446561 0.0174232 0.0117778 -0.0163771
1420 NA12003 -0.00240019 0.0126138 0.000802322 -0.0257947 -0.0106945 -0.00815618 0.0182575 0.000727587 0.0229293 -0.0205341
1340 NA07022 0.071079 0.0249524 -0.0145721 0.0295359 0.00460463 0.00571331 0.0101978 0.0293613 -0.0173297 -0.00122959
1454 NA12813 0.00913785 -0.018295 0.0021696 0.0165906 0.00339235 -0.0286734 0.00264663 -0.0310095 -3.0249e-05 -0.00278843
1341 NA07055 0.0105483 0.00774367 0.017666 0.00464301 -0.0220315 -0.00772782 -0.0164176 0.0202809 -0.0304186 -0.0282172
1344 NA12056 0.00896845 0.00709646 0.00377139 0.015268 -0.00476046 0.00409024 -0.000753281 -0.0280158 0.0167752 0.020736
1334 NA12145 0.0119694 -0.0051593 -0.0218516 0.0043021 -0.00132919 -0.00519184 0.00609167 -0.00214707 -0.00833408 -0.0172722
1454 NA12814 -0.0144223 0.0203146 -0.0156975 0.00520808 0.0292605 0.0152563 -0.024699 0.00550687 -0.0217195 0.0124969
1420 NA12006 0.00672932 0.00725155 0.00126602 -0.0146471 -0.00869114 -0.00331758 0.00809886 -0.00374119 0.00592632 -0.0209834
1447 NA12763 0.00339738 0.00214539 -0.00377878 -0.0409371 -0.027871 0.0362077 0.0199442 -0.020675 0.0166454 0.00988805
1345 NA07357 -0.0134755 -0.00142486 -0.000698914 0.0149494 0.0364768 -0.0460827 -0.00382443 -0.00657033 0.0114421 -0.0148501
1334 NA12144 -0.0138706 -0.00166858 0.00726498 -0.0187944 0.0187826 0.00290137 0.00852543 0.00880641 0.0217237 -0.0203533
1340 NA07000 0.0106481 0.00671165 -0.0179552 0.0118204 0.00476903 -0.0163905 0.00453607 -0.0170633 -0.00631982 -0.0171539
1350 NA11832 0.0139051 0.00814155 -0.0337668 -0.00304597 -0.0179668 -0.0372599 0.00155649 -0.000341236 -0.0135982 0.0021031
1349 NA11840 0.0344911 0.0118748 -0.0451764 -0.0385828 -0.0268583 -0.0497783 0.040195 -0.0379714 -0.0213834 -0.0332569
1447 NA12761 -0.0307435 0.024429 0.0267231 0.0232816 0.00378499 0.0239816 0.00767173 0.000769323 -0.0098979 -0.0125357
1340 NA06994 0.0115654 0.00346133 0.00402601 0.00544805 0.000743804 -0.0344651 -0.0440055 0.0134705 0.0409603 -0.0267542
1362 NA11993 -0.0145556 -0.00328106 0.0115546 -0.0138214 0.0258134 0.0149879 -0.0082278 -0.00446725 -0.0552723 0.00474914
1362 NA11995 -0.00377686 0.00250824 -0.00532517 0.0234942 -0.00342504 0.0209277 -0.0389287 -0.000438082 0.00449852 -0.00789227
1463 NA12891 -0.00649548 -0.00775695 -0.0143738 -0.0151132 0.00146527 0.00558804 0.0103264 -0.0122321 0.0161606 -0.0132104
1444 NA12751 0.00646818 0.00607501 0.0259838 -0.00951378 0.00117118 -0.0239704 0.01622 0.0090928 0.00771657 -0.00651892
1420 NA12005 -0.00103831 0.017 -0.0161909 -0.0361926 0.0321858 0.0232446 -0.0139476 -0.0265666 0.0079953 0.0118371
1375 NA12234 -0.00545374 -0.000473549 -0.0309395 0.000503307 -8.67659e-05 0.0037041 -0.0201599 -0.00848644 0.0174465 -0.0125088
1345 NA07345 -0.0112695 -0.0198374 0.0314895 0.00286633 -0.0247282 0.00268507 -0.0267375 -0.000672348 -0.0125573 0.0281039
1463 NA12892 0.0119679 -0.013752 0.0132662 0.00302679 0.00613061 -0.0205511 -0.036729 0.0171332 0.0460753 -0.00559571
1416 NA12248 -0.0132577 -0.00301948 0.00977539 -0.00492387 -0.0331145 -0.0110553 -0.00480481 0.0311567 -0.00138964 0.00295089
1459 NA12872 0.00996965 0.0114349 0.00410468 -0.0094927 0.00898939 0.0202193 0.0258799 -0.0362703 -0.00469987 -0.0174998
1408 NA12155 0.0338564 -0.0821393 0.0330621 0.00572626 0.0254413 0.0292363 0.0288236 -0.0217422 0.0075527 -0.005557
1341 NA06993 0.105945 0.0506819 -0.00215476 0.0505934 -0.0055047 0.0175659 -0.00894433 0.0180646 -0.00831635 0.00790936
1350 NA11830 -0.00332242 -0.0123988 0.0143702 0.0128532 -0.00285367 -0.0198381 -0.00423581 0.0203346 0.00614111 0.0264743
1416 NA12249 0.00177138 0.0146044 -0.00340792 0.00340096 -0.0442046 0.0179314 0.00582983 -0.0109631 0.00706025 0.0203456
1344 NA12057 0.00302741 -0.00131485 0.0119236 0.00985044 0.0371596 -0.0574097 0.00723772 -0.00319716 0.00921261 0.0370614
1454 NA12812 -0.0229737 0.0140844 -0.00614209 0.00784044 0.00234034 0.00239798 0.00101706 0.0363295 0.0511956 0.000143899
1347 NA11881 -0.00912705 -0.00136449 0.00959651 -0.0137459 0.0226192 -0.0225826 0.0284392 0.00244224 -0.00403983 -0.014028
1362 NA11994 -0.00509486 0.00110926 0.00204611 -0.0253291 0.025695 0.00601503 0.00484019 -0.0346907 -0.022527 0.00326648
1459 NA12873 0.00133368 -0.00839616 0.0200464 -0.0126378 -0.0347188 0.0061071 0.0111128 -0.0102271 -0.0259688 0.024543
1454 NA12815 -0.018611 -0.0151795 -0.0108303 0.0078403 -0.027522 -0.03745 0.00783771 0.0266636 -0.0227113 0.0408618
1346 NA12043 -0.0448346 0.0674577 0.0526665 0.0323308 0.00726844 -0.00780048 0.0518395 -0.0285621 0.00359804 9.70398e-05
1375 NA12264 0.0368736 -0.0790072 0.0436059 0.0117734 0.0260286 0.0426359 0.013693 -0.00760921 0.0171175 -0.00953351
